mangaid,plateifu,ff_age_lw,ff_age_mw,ff_mass,dl_ttype,gz_p_nobulge,gz_p_obvious,gz_p_dominant,gz_ttype
1-321299,9868-12702,6.186800570509459,10.268176501625668,10.642810821533203,-2.2285280227661133,0.0,0.6333333333333333,0.0,3.192333333333333
1-51767,8727-12701,,,9.954036712646484,5.011425971984863,0.014705882352941175,0.6029411764705882,0.07352941176470587,2.706470588235294
1-135227,9029-6103,4.787589346047875,9.547231907051751,9.721212387084961,-0.5728965997695923,0.0,0.28846153846153844,0.0,3.975192307692308
1-24246,8626-1902,4.339425308878225,6.232923564219476,10.791213035583496,3.814894199371338,0.09090909090909093,0.3488372093023256,0.3076923076923077,1.6387689055130914
1-172986,8452-12704,,,10.165327072143555,4.793064117431641,0.0967741935483871,0.3333333333333333,0.03333333333333333,3.997548387096774
1-285748,8330-6102,3.201696444069095,5.72052617955918,9.969003677368164,2.4772372245788574,0.18604651162790695,0.06976744186046513,0.08333333333333333,4.549108527131783
1-567184,8252-1901,9.078966690414438,10.851375469376329,9.604740142822266,-2.3684639930725098,0.0,0.0,0.2413793103448276,2.6072413793103446
1-92526,8548-3702,2.4310471827568887,5.810821343872412,8.738831520080566,4.474515914916992,0.875,0.04878048780487805,0.0,8.168018292682925
1-564429,9500-12705,9.25111655833749,10.64669968539697,10.991166114807129,-2.2196121215820312,0.06818181818181818,0.3898305084745763,1.0,-4.350597072419108
1-624909,8322-12701,,,9.449705123901367,5.70393180847168,0.18604651162790695,0.021739130434782608,0.02325581395348837,5.161582406471183
1-163917,8941-1902,4.762876493283529,5.9770284620179694,10.911016464233398,-2.1827917098999023,0.0,0.6071428571428571,0.0,3.251785714285714
1-72914,8725-12705,5.72052617955918,8.752451868654967,10.838888168334961,4.180663585662842,0.0,0.03333333333333333,0.027777777777777776,4.321555555555555
1-211051,8602-3703,9.521380532471746,13.136999385003358,9.192584037780762,-2.082274913787842,0.0,0.42857142857142855,0.0,3.657142857142857
1-44634,8718-9101,2.7818915749665383,5.673881514840956,10.1146240234375,2.640470027923584,0.029411764705882356,0.4594736772927953,0.0,3.7096418113688845
1-173384,8993-3703,8.752451868654967,10.99141015653675,10.371143341064453,-1.1783488988876343,0.0,0.43329433684301744,0.4782608695652174,-0.3614042315901722
1-201798,8938-3701,6.254813172623671,9.846371974378632,9.951656341552734,3.0,0.0,0.4720576430292934,0.17142857142857146,2.1218577217520753
1-284048,8465-3701,3.994389244669551,6.395815461711663,9.9461088180542,3.52131986618042,0.4142534391494089,0.2058823529411765,0.06935614379840481,5.308879415045932
1-38770,8156-12701,8.303701092580065,11.033711625283168,10.045271873474121,-0.48,0.25925925925925924,0.25,0.0,5.143611111111111
1-235587,8326-1902,6.606781129390147,10.244986685307639,10.105175971984863,-2.2655587196350098,0.0,0.575,0.1,2.48675
1-51941,8728-9102,4.2490051332525764,9.629663400577781,9.675280570983887,3.9688210487365723,0.16939002437295209,0.36666666666666653,0.13253012048192772,3.393420658663323
1-25771,9196-12702,13.836754818503763,13.88340109087835,11.004136085510254,-2.1466317176818848,0.0,0.03333333333333333,1.0,-3.8256666666666677
1-285052,8319-12702,3.6106710314330512,6.082657736894667,10.463138580322266,2.240934133529663,0.08108108108108109,0.569620253164557,0.08358408559010364,2.974635496179495
1-52462,8728-6104,,,8.7642183303833,3.286065101623535,0.8333333333333334,0.029411764705882356,0.028571428571428567,7.7988067226890765
1-384952,9493-3704,5.393809769901167,7.4696777050371885,9.561997413635254,4.5291218757629395,0.1388888888888889,0.025,0.0,5.152416666666666
1-201317,8146-3701,5.823657783720127,8.495615871796781,9.942609786987305,1.2031981945037842,0.012025518418266731,0.3,0.03125,3.737271411804172
1-458105,8982-12704,2.968471395568366,4.367821369388783,10.33513069152832,-0.7427629232406616,0.13636363636363635,0.5848039196102509,0.0,3.871131466121094
1-458395,8952-3703,4.274531498296256,6.955642472634077,10.017500877380371,3.4865236282348633,0.0,0.6,0.24675324675324675,1.2002077922077916
1-564477,8606-12703,,,11.264068603515625,-2.5794434547424316,0.0,0.7635919364691509,0.1176470588235294,1.9107639512738506
1-585210,9502-6104,9.265546142266613,11.970955453358632,10.483416557312012,-2.3165640830993652,0.0,0.59375,0.375,0.13968749999999996
1-152524,8144-6104,6.326911318488596,10.898120567961678,10.73222541809082,-1.1545816659927368,0.0,0.5679627783316716,0.3023255813953488,0.8072361210940819
12-84679,7443-9102,7.029471842365639,11.3155247238917,10.980841636657715,-2.0960288047790527,,,,
1-43268,8566-3701,5.0069653937400185,11.177894083296174,9.19900894165039,1.3558076620101929,0.0,0.1794871794871795,0.035820494342783324,3.922388359971578
1-120967,8144-12704,2.525026821914703,4.990303642454165,10.799323081970215,2.213181972503662,0.0,0.8,0.2,1.138
1-594446,8550-1901,9.242195101531818,11.270410274668112,9.792356491088867,-2.134002208709717,0.0,1.0,0.0,2.36
1-166646,8461-1902,6.979941853356966,10.198447717770804,9.547696113586426,0.07723581790924072,0.012025518418266731,0.20891849857239025,0.027777777777777776,3.973123642267068
1-37039,8077-1902,7.073231925285029,8.565871666517106,10.062179565429688,-2.3334107398986816,0.0,0.5277777777777778,0.1973684210526316,1.7779970760233914
1-523108,8320-3702,2.1987052825795326,3.591336738826217,9.568360328674316,3.528010368347168,0.10256410256410256,0.2564102564102564,0.19230769230769232,2.8641025641025637
1-188309,8996-12704,6.560136702881119,11.224637618897301,9.530304908752441,4.386319160461426,0.4230769230769231,0.029411764705882356,0.0,6.3274660633484165
1-569095,8978-12705,,,10.432185173034668,4.379141807556152,0.24074074074074076,0.3209503189024722,0.0,4.9053316649802765
1-174036,8947-6101,7.814724988109571,12.880342630077728,11.026325225830078,-2.3255767822265625,0.0,1.0,0.0,2.36
1-180513,7968-12701,,,10.297285079956055,4.941839218139648,,,,
1-322802,8315-12703,5.533946533142916,8.146067013776378,10.698397636413574,3.444094181060791,0.0,0.7142857142857143,0.15053763440860216,1.7470660522273422
1-251303,8332-1901,0.0,0.0,9.361440658569336,3.4715213775634766,,,,
1-605531,9506-3701,4.227886395095973,8.705806786077476,10.637947082519531,1.7086715698242188,0.0,0.37777777777777777,0.15725743041358706,2.454627177578585
1-457009,8934-6102,5.944791165249797,11.621095198057862,9.561013221740723,1.5389676094055176,0.0,0.26666666666666666,0.02325581395348837,3.829782945736434
1-44216,8138-3701,,,10.037800788879395,4.780078411102295,0.06818181818181818,0.2380952380952381,0.011450556497045758,4.277886327896748
