mangaid,plateifu,p3d_age_lw,p3d_age_mw,p3d_mass,dl_ttype,gz_p_nobulge,gz_p_obvious,gz_p_dominant,gz_ttype
1-114121,7975-12701,5.992037728166676,9.359742169451003,11.160017967224121,4.044775009155273,,,,
1-114129,7975-12702,1.1436430144118772,7.467244337991415,10.618600845336914,0.2706506848335266,,,,
1-114325,7975-12703,1.2719506248182586,7.448901766849266,10.671440124511719,4.5183634757995605,,,,
1-114454,7975-12704,2.989071794183887,6.269014137975944,11.02524471282959,-0.31255245208740234,,,,
1-114073,7975-12705,0.17481300491561358,1.0343386247572597,9.77061939239502,5.549442291259766,,,,
1-114303,7975-1901,0.3963376922422515,2.2958666277216366,9.626117706298828,5.308010578155518,,,,
1-114334,7975-1902,3.9617236510080125,9.003542397634485,10.270201683044434,0.06471586227416992,,,,
1-114082,7975-3701,0.6898514915059055,5.656008725854469,10.145955085754395,0.43363726139068604,,,,
1-114171,7975-3702,6.461683019623357,8.850738769817056,11.211753845214844,-2.406559944152832,,,,
1-114532,7975-3703,5.042205087731576,6.808279498259307,10.931249618530273,-2.3402280807495117,,,,
1-550578,7975-3704,6.314940496374464,8.551890846550458,11.122659683227539,-2.571150302886963,,,,
1-114128,7975-6101,6.75699932798578,8.585496418287303,10.959783554077148,-2.5037474632263184,,,,
1-114145,7975-6102,3.459967638027843,8.01657459721366,10.619704246520996,3.6101913452148438,,,,
1-114502,7975-6103,7.276479504651888,9.303983631851297,10.998896598815918,-2.569640636444092,,,,
1-114465,7975-6104,1.9205740349691702,6.786829617357844,11.014045715332031,-2.1328811645507812,,,,
1-114306,7975-9101,0.9708627125130643,7.710255121352683,10.904412269592285,4.555757999420166,,,,
1-114500,7975-9102,0.9165985881515201,8.77578433846918,10.31147575378418,5.177945137023926,,,,
1-114955,7977-12701,1.1011881623234718,7.392926282810006,11.213227272033691,1.6350765228271484,,,,
1-114973,7977-12702,5.418000428368411,8.466424555560943,11.274707794189453,-2.5201196670532227,,,,
1-115162,7977-12703,2.0397233434677564,9.094870113550023,11.001502990722656,3.293722152709961,,,,
1-636015,7977-12704,2.3500884780717524,8.266799748790525,10.686052322387695,2.5481064319610596,,,,
1-596678,7977-12705,2.373999656915748,7.251261234411604,10.852243423461914,1.8898909091949463,,,,
1-115062,7977-1901,6.2724704141520675,7.467063968293623,9.869872093200684,-2.220426559448242,,,,
1-115128,7977-1902,1.1044162345102162,7.299156357899464,10.496349334716797,4.169426441192627,,,,
1-115097,7977-3701,4.0581924071746815,7.843454980373085,10.237427711486816,-1.7527388334274292,,,,
1-114928,7977-3702,7.156317461783051,9.478276919718393,10.556506156921387,-2.3798460960388184,,,,
1-115320,7977-3703,0.7208886611766081,8.218743227398557,10.349776268005371,0.40516650676727295,,,,
1-114956,7977-3704,2.244773088685099,6.67188134263055,10.359496116638184,-0.27714240550994873,,,,
1-562254,7977-6101,3.2950378872634043,5.215164239945756,10.947644233703613,-2.2992095947265625,,,,
1-114998,7977-6102,8.061182867162291,9.753479691891105,11.022799491882324,-2.2206993103027344,,,,
1-115085,7977-6103,1.0127955262331023,6.39033862908678,9.680134773254395,2.97719144821167,,,,
1-562158,7977-6104,6.76047226648973,8.631772909307903,10.849793434143066,0.3427853584289551,,,,
1-596598,7977-9101,0.25384113237102995,7.667167861706141,11.232621192932129,1.3351339101791382,,,,
1-114980,7977-9102,1.433878194868869,9.775801150530578,10.927696228027344,3.8463525772094727,,,,
1-24414,7990-12701,0.901770958611709,4.489666171444296,10.19279956817627,5.233055114746094,,,,
1-23877,7990-12702,4.315638428174545,8.651755249986996,10.499049186706543,4.959323406219482,,,,
1-25517,7990-12703,0.7819791116697651,6.293317221907237,9.379549980163574,5.482128620147705,,,,
1-25554,7990-12704,3.023896890789202,7.8315281233806475,10.510403633117676,4.381501197814941,,,,
1-24476,7990-12705,2.1812289249596124,5.659599280181337,10.629679679870605,-0.4489724636077881,,,,
1-634825,7990-1901,5.534303512100238,8.350690967196341,10.784789085388184,-2.320549964904785,,,,
1-634828,7990-1902,1.757726288898079,9.732918864498584,10.73945426940918,-2.3835983276367188,,,,
1-23894,7990-3701,6.857102362312556,9.316720711458625,10.435529708862305,-2.266066551208496,,,,
1-24390,7990-3702,1.8949818590758978,8.045373086501474,9.95877742767334,1.6160271167755127,,,,
1-24357,7990-3703,0.20983432195393034,9.809174524329112,10.402865409851074,3.377026081085205,,,,
1-24394,7990-3704,4.107619817535574,7.733553548090135,10.133024215698242,0.24116212129592896,,,,
1-23866,7990-6101,2.14782466346476,5.6285896731188245,9.831493377685547,0.30313223600387573,,,,
1-24379,7990-6102,1.4444461223356737,3.1884535419193756,9.38237190246582,2.520176887512207,,,,
1-25688,7990-6103,2.5689616089505285,7.897949331951873,10.319864273071289,2.866051197052002,,,,
1-25593,7990-6104,0.47378880323753975,7.693004751435053,10.285574913024902,4.501740455627441,,,,
1-23914,7990-9101,1.7641569036775644,7.747950886948577,10.201522827148438,3.2898430824279785,,,,
1-25609,7990-9102,4.352450732531771,7.118044936632125,10.293634414672852,5.022037506103516,,,,
1-595027,7991-12701,0.661186448932853,8.820936159940535,10.647660255432129,5.050578594207764,,,,
1-24145,7991-12702,5.086510493224909,8.467447153078126,10.853853225708008,-0.9369257688522339,,,,
1-595093,7991-12703,4.1303769180292065,9.204146778966749,10.777949333190918,4.368083477020264,,,,
1-24368,7991-12704,0.5440951542845338,2.578099683216788,9.82751178741455,4.772220134735107,,,,
1-25937,7991-12705,3.635435231796158,7.822865438431579,11.082620620727539,2.116367816925049,,,,
1-24099,7991-1902,5.5784967114550215,7.831734494659467,10.280200958251953,-1.8198550939559937,,,,
1-25819,7991-3701,7.339176226188423,9.309358476000254,10.869539260864258,-1.7672773599624634,,,,
1-23979,7991-3702,4.152357294979838,8.39094663116887,10.280460357666016,-1.7702192068099976,,,,
1-24124,7991-3703,3.5255424816125776,7.181852110218961,9.740643501281738,2.1107258796691895,,,,
1-23891,7991-3704,6.848870787482081,9.234574902807342,10.480587005615234,1.814208745956421,,,,
1-24018,7991-6101,6.012493802491201,7.8734294516607335,10.447305679321289,-2.0311503410339355,,,,
1-24354,7991-6102,3.704514576521225,7.187200383486996,10.000588417053223,-0.1604517698287964,,,,
1-24006,7991-6103,0.9356248775833075,7.905514603575216,9.923027992248535,3.3540024757385254,,,,
1-24148,7991-6104,7.159178104033822,9.821524784748135,10.449131965637207,2.471348285675049,,,,
1-23929,7991-9101,1.2134890824483144,7.97923629965405,10.142353057861328,4.519387722015381,,,,
1-25911,7991-9102,4.109108385405208,7.074366839515994,11.330723762512207,-2.2271523475646973,,,,
1-634238,7992-12701,3.2909233863571226,8.57620690315401,11.749412536621094,-0.06086468696594238,,,,
1-22298,7992-12702,4.400888671032004,7.2749776769268335,10.83540153503418,-1.4993773698806763,,,,
1-594809,7992-12703,0.41366581027854715,6.071574851582219,9.679106712341309,5.080554485321045,,,,
1-22286,7992-12704,3.8773356786367827,6.324863246682628,11.286323547363281,-2.284724712371826,,,,
1-22942,7992-12705,8.35318522849028,10.17387373401671,11.047476768493652,-2.380751132965088,,,,
1-22438,7992-1901,0.810812224910333,7.663599363174327,9.50216007232666,0.5855223536491394,,,,
1-23023,7992-1902,0.9132694824218892,2.1298457900110934,10.190555572509766,5.20097541809082,,,,
1-22347,7992-3701,7.8007024550345925,9.57547140916826,10.293475151062012,-2.2641592025756836,,,,
1-22383,7992-3702,0.39846260807815814,7.019926258238164,10.6486177444458,2.327826976776123,,,,
1-22970,7992-3703,4.571161342395888,9.027536795952484,10.618963241577148,-1.6232777833938599,,,,
1-22333,7992-3704,0.9504350408009228,2.405442989771766,9.593201637268066,4.181309223175049,,,,
1-22301,7992-6101,1.9510907999430533,6.916489335990302,11.129672050476074,2.0,,,,
1-634299,7992-6102,0.27960297381829846,4.352737470497081,9.962947845458984,5.0439677238464355,,,,
1-22414,7992-6103,2.207533771485976,4.953584619087064,11.03380298614502,0.3010801076889038,,,,
1-22662,7992-6104,1.5112109917708314,9.153072978358171,10.446829795837402,1.6757619380950928,,,,
1-22412,7992-9101,0.47416766042639436,7.453646855279736,9.4386568069458,5.738890647888184,,,,
1-22948,7992-9102,2.579056618953329,6.411380069613359,11.09858512878418,1.2865116596221924,,,,
1-36645,8077-12701,0.48094829412175155,2.067215813253563,9.807055473327637,4.860275745391846,0.05882352941176471,0.19047619047619047,0.0,4.4429131652661065
1-36849,8077-12702,1.4141719047438643,7.608984079510291,10.137579917907715,3.98997163772583,0.08695652173913042,0.07766387076731904,0.0,4.8163117090103595
1-36925,8077-12703,4.9401689122811945,9.845926034679655,11.070672988891602,0.37719857692718506,0.0,0.0,0.0,4.63
1-37018,8077-12704,1.2470074966249964,3.7216207690509577,10.118712425231934,3.997178077697754,0.0,0.4864864864864865,0.17647058823529413,2.0468521462639107
1-109081,8077-12705,2.6142490227577735,7.783762482591145,10.86678695678711,3.8163414001464844,0.0,0.5351743330389874,0.13304064391671655,2.3002736679794134
