mangaid,dl_ttype,ff_age_lw,ff_age_mw,ff_mass,gz_p_dominant,gz_p_nobulge,gz_p_obvious,gz_ttype,p3d_age_lw,p3d_age_mw,p3d_mass,plateifu,z
1-121023,-2.384711265563965,9.871930986002713,12.69375903937681,10.511662483215332,0.3121423301845104,0.0,0.6986301369863014,0.42835686209489854,5.180124645306094,8.170984010727555,10.751072883605957,8144-6103,0.0617402
1-121035,-1.8745077848434448,7.9594864093399025,9.545415993416736,9.98916721343994,0.18181818181818185,0.0,0.5476190476190477,1.8632683982683975,6.929487300935852,9.109301026138288,10.096736907958984,8144-1901,0.0268051
1-121075,-2.2224197387695312,5.1827970657192415,5.603865601183932,10.803400039672852,0.0,0.0,0.5555555555555556,3.368888888888889,1.507449192283349,4.817463277226065,11.042245864868164,8144-3702,0.0978535
1-121151,6.2204346656799325,1.1959615019540502,2.2221514469893053,8.940808296203613,0.07894736842105263,0.5081967213114754,0.0975609756097561,5.866137965866286,0.632787784968172,1.269656769907448,9.087480545043944,8139-12701,0.0155876
1-121202,0.5203505158424377,4.853056723969387,9.171781985750457,9.469639778137207,0.07894736842105263,0.11904761904761905,0.3947368421052632,3.5687969924812024,0.7349094394980118,6.519291515434196,9.97842502593994,8139-1902,0.0406385
1-121206,5.01516580581665,1.28651197321784,3.373820772571218,9.032232284545898,0.0,0.4761904761904762,0.1427346763823403,6.291706570326372,0.5795184212130005,8.356359152216195,9.701674461364746,8139-9101,0.0191816
1-121209,2.806689739227295,2.8976594179480535,4.647457923412332,10.156827926635742,0.06896551724137931,0.0,0.5925925925925926,2.706883780332056,2.750871419187926,5.253381703792508,10.357230186462402,8139-6101,0.027711
1-121218,5.8572492599487305,,,9.556304931640623,0.07272727272727272,0.014084507042253518,0.6774193548387096,2.541535913427781,0.5194785131261817,2.8629503223940653,9.955406188964844,8139-3703,0.0440361
1-121235,1.0126881599426272,5.254076792949227,6.326911318488596,10.484068870544434,0.3147713615292165,0.05555555555555555,0.5,1.0888826570518324,6.942570673540974,8.897428903199222,10.728960037231444,8936-3702,0.0609332
1-121236,2.772189855575561,3.6764172901539336,5.112192475958949,10.806870460510254,0.0,0.3157894736842105,0.38461538461538464,5.073765182186233,4.9527471103028535,8.01291385817853,11.079095840454102,8139-6104,0.0607858
1-121277,-1.4036310911178589,2.4087315591843965,3.2016964440690954,10.290753364562988,0.0,0.0,0.5652173913043478,3.3469565217391306,5.2958782009939975,8.379659204537282,10.554506301879883,8977-6101,0.0541615
1-121330,5.6645145416259775,2.7352464305625177,5.673881514840955,9.26618194580078,0.07317073170731707,0.35,0.043478260869565216,5.377633616118769,0.4401961503890662,7.4790926820547625,9.893430709838867,8977-12702,0.0174976
1-121334,-0.6714868545532227,7.259811037963687,8.799096889247851,9.876246452331543,0.0,0.0,0.625,3.21125,6.270900395217844,7.827917506152736,10.069666862487793,8977-1902,0.0417555
1-121375,-2.388980865478516,9.17225655773998,12.577342020152265,10.781026840209961,0.0,0.25,0.05555555555555555,5.546388888888887,7.510197526129764,9.250568078309751,10.856483459472656,8977-3701,0.0828189
1-121387,-2.2016377449035645,7.554909398008963,11.201289124898963,9.659101486206056,0.0,0.4166666666666667,0.6,5.0055,4.578072628460807,7.369197507428228,10.02817440032959,8977-1901,0.0281629
1-121413,5.458372592926025,2.1283504178218418,5.971566015258548,8.82822322845459,0.02631578947368421,0.3333333333333333,0.4,4.891473684210526,,3.3994771365141787,7.226639747619629,8977-12704,0.0158709
1-121486,1.5374372005462646,4.74098163251994,8.099421507153009,10.1885347366333,0.2392792128307616,0.0,0.5263157894736842,1.4301033543729544,0.8726397645528946,5.181421571307496,10.60450839996338,8717-3704,0.0290077
1-121523,0.8539477586746216,6.9332962950252455,11.831021575620316,10.67269515991211,0.3333333333333333,0.0,0.6181818181818182,0.4333939393939392,5.7297012857338565,9.303922339746238,10.972439765930176,8977-12703,0.0752425
1-121532,-1.7690354585647583,,,11.01794719696045,0.32,0.07752374936904906,0.46,1.2274740348689344,5.57308487727559,9.278174572327448,11.185175895690918,8717-1902,0.139965
1-121598,-2.335482120513916,8.425936302927594,10.43167238066028,11.088125228881836,0.2857142857142857,0.5333333333333333,0.09124203821656053,4.252594858962691,6.374935342294767,8.589022659077942,11.083622932434082,8717-9102,0.0714115
1-121607,-2.428380012512207,8.93903192328091,10.245090735075637,10.702516555786133,0.13381506757660913,0.022727272727272728,0.3636363636363637,2.777947915526197,7.273763659855918,8.8256055743564,10.733232498168944,9485-1902,0.0405107
1-121612,5.411341190338135,2.175506501230115,6.606781129390148,8.765049934387207,0.0851063829787234,0.07317073170731707,0.5,3.086930461857809,0.4184127590753216,7.7164374408534195,9.312386512756348,9485-12702,0.0187191
1-121697,0.4044177532196045,8.892387083706419,10.618250134411603,10.119532585144043,0.0,0.0,0.5,3.495,6.4038523055764625,8.31541116029605,10.46315097808838,8717-6101,0.0456332
1-121717,3.612445831298828,6.4202012547457326,10.198447717770804,10.987253189086914,0.0196078431372549,0.5,0.03333333333333333,6.475019607843138,1.7791699621670996,4.7606963163628775,11.070211410522461,8717-6102,0.109778
1-121735,1.2660995721817017,3.294986333822272,5.487301742510544,9.770329475402832,0.4,0.11386927806877704,0.2833333333333333,1.1096682228801331,0.6104609422613854,5.505334245068351,10.272075653076172,8717-3703,0.0457813
1-121737,-2.225449562072754,6.326911318488596,7.912841682878407,10.988619804382324,0.3441037431173543,0.07142857142857142,0.68,0.5006677755337132,7.127789483548143,9.493086878318259,11.217506408691406,8717-6103,0.113369
1-121747,-0.6509265899658203,6.4202012547457326,7.912841682878407,11.285066604614258,0.0,0.0,1.0,2.36,5.283298627752862,11.094843814932757,11.518255233764648,8717-12702,0.130424
1-121773,4.846627712249756,,,9.316689491271973,0.023205625043510543,0.8928571428571429,0.029411764705882363,8.091986441967316,0.3936453913045429,7.379269675940423,9.651806831359863,8717-12703,0.019982
1-121784,-0.95433247089386,3.2483417076207446,8.519227045072249,9.625777244567873,0.06666666666666668,0.05584285150735212,0.4879792299025239,3.1964851722402616,1.0136966526186426,4.572285724061337,9.858753204345703,9181-3701,0.0402774
1-121789,-0.07130277156829834,3.808081537074128,6.233621639197802,9.613821029663086,0.0,0.2222222222222222,0.2857142857142857,4.908095238095238,1.9773061337439075,9.579867046854623,10.125575065612793,9485-3701,0.0392324
1-121803,-2.214177131652832,7.772906713657887,9.965221035427264,9.784076690673828,0.2413793103448276,0.07639530281039715,0.53125,1.719872292029701,1.0,1.0,9.014480590820312,9181-1901,0.0408411
1-121837,1.2860616445541382,4.071428513115895,6.961869416702678,9.791813850402832,0.2857142857142857,0.0,0.4651162790697674,1.1799003322259134,2.176759840008933,8.785154989186259,10.263875007629396,9485-3702,0.0415041
1-121851,-2.055243015289306,3.2016964440690954,3.761436561685899,11.020912170410156,0.3441037431173543,0.0,0.5641025641025641,0.4658978121637505,6.426631500779156,9.209645958790432,11.228316307067873,9485-6101,0.0719923
1-121871,-0.658272385597229,4.155141567407166,7.678800146896716,9.788018226623537,0.19444444444444445,0.0,0.4358974358974359,2.011068376068376,2.5717047075744923,8.103565512093057,10.172886848449707,9485-3703,0.0441646
