ID,zCMB,mu,e_mu,RA,DEC,Sample,Host,morphology,Morph_quality,Notes,Host_RA,Host_DEC,cutsmask,mu_cosmo,HR,HR_err,H0
sn2006ax,0.017986666666666668,33.64381943512957,0.10161560420401212,170.9659639997827,-12.312511312537987,Hicken,NGC 3663,Sb,0.0,,170.999625,-12.296444000000001,True,33.677308870003266,-0.033489434873693824,0.12924094216233814,100.52725350224148
sn2006ar,0.02288333333333333,34.197688377476986,0.18277429047624835,159.29914254593515,65.01362151372642,Hicken,MCG +11-13-36,Sc,0.0,,159.3833,65.01827800000001,True,34.20814790489342,-0.010459527416436742,0.1994590969907324,100.52725350224148
sn2006ak,0.039073333333333335,35.31922975865493,0.1686617145184653,167.4135069511851,28.648378609285306,Hicken,WISEA J110933.15+283739.8,E,1.0,,167.388094,28.627758,True,35.39598726882553,-0.07675751017060861,0.1866126042301824,100.52725350224148
sn2006ac,0.02358333333333333,34.302023066256005,0.1193481018970768,190.43199067169977,35.06128661002336,Hicken,NGC 4619,Sc,0.0,,190.435619,35.062767,True,34.274715802901994,0.027307263354011013,0.14360173933381665,100.52725350224148
sn2006s,0.032876666666666665,35.089603656653324,0.10820664059009072,191.40565403610825,35.13268494525174,Hicken,UGC 7934,Sa,1.0,,191.41104199999998,35.08375,True,35.0111322098209,0.07847144683242391,0.1344848213779364,100.52725350224148
sn2006n,0.01429,33.22568104473083,0.11280376153331212,92.15394678970638,64.77099855849143,Hicken,MCG +11-8-12,E,0.0,,92.126625,64.723694,True,33.17164189375594,0.054039150974887214,0.13821063175214393,100.52725350224148
sn2005na,0.02678,34.40531288675495,0.11696522904620404,105.39795672049378,14.129171098750735,Hicken,UGC 3634,Sa,0.0,,105.403167,14.13525,True,34.55592653791848,-0.15061365116353187,0.14162752175722546,100.52725350224148
sn2005mz,0.017683333333333332,33.348781732154265,0.14819305787226136,49.94857162772264,41.46622601456967,Hicken,NGC 1275,S0⚬,0.0,,49.950666999999996,41.511696,True,33.63987888408953,-0.2910971519352685,0.16834094129116006,100.52725350224148
sn2005ms,0.02588,34.66222473024889,0.10825447403114563,132.33219645443103,36.12411377957515,Hicken,UGC 4614,Sc,0.0,,132.31831100000002,36.119797999999996,True,34.48023801717862,0.18198671307026612,0.13452331121787914,100.52725350224148
sn2005ki,0.02078333333333333,33.852599977233865,0.11676575776675001,160.13400137154778,9.215798110287835,Hicken,NGC 3332,E,0.0,,160.118221,9.182552000000001,True,33.99570531547364,-0.14310533823977778,0.14146283010072194,100.52725350224148
